"","bike","walk","motorcycle","car","bus","truck",""
"bike","0","0","0","1.2","0.2","0","local fatal"
"walk","0","0","0","1.2","0.2","0","local fatal"
"motorcycle","0.2","0","0","1.4","1","0","local fatal"
"car","0.6","4.6","0.6","4","1.4","0","local fatal"
"bus","0.4","1.4","1","3.2","0.2","0","local fatal"
"truck","0.2","0","0","0","0.2","0","local fatal"
"bike","0","0","0","0.2","0","0","arterial fatal"
"walk","0","0","0","0","0","0","arterial fatal"
"motorcycle","0","0","0.2","0.4","0.2","0","arterial fatal"
"car","0.2","1.6","0.8","1.6","1.4","0","arterial fatal"
"bus","0","0.4","1.2","3","1","0","arterial fatal"
"truck","0","0","0","0","0","0","arterial fatal"
"bike","0","0","0","0","0","0","highway fatal"
"walk","0","0","0","0.2","0","0","highway fatal"
"motorcycle","0","0","0","0.4","0","0","highway fatal"
"car","0","1.4","0.4","2.8","1.2","0","highway fatal"
"bus","0","0.2","0.4","0.8","0","0","highway fatal"
"truck","0","0","0","0","0","0","highway fatal"
"bike","0.4","0.2","0","3.2","0.8","0.2","local serious"
"walk","0","0","0","4.2","1","0","local serious"
"motorcycle","0.6","0.8","1.2","12","2.4","0","local serious"
"car","6.4","9.6","7.8","25.4","5.6","0.2","local serious"
"bus","4.4","2.2","2.8","9.4","1.8","0","local serious"
"truck","0","0","0","0","0.2","0","local serious"
"bike","0","0","0","0.6","0","0","arterial serious"
"walk","0","0","0","1.2","0","0","arterial serious"
"motorcycle","0","0","0","1","0.6","0","arterial serious"
"car","0.2","0.8","2.6","9.4","1.8","0","arterial serious"
"bus","0.2","0","1.4","4.2","1.8","0","arterial serious"
"truck","0","0","0","0","0","0","arterial serious"
"bike","0","0","0","0","0","0","highway serious"
"walk","0","0","0","0.6","0","0","highway serious"
"motorcycle","0","0","0","2.6","0.4","0","highway serious"
"car","0.6","0.4","3.2","9","0.4","0","highway serious"
"bus","0","0","0.6","3.8","0.6","0","highway serious"
"truck","0","0","0","0.2","0","0","highway serious"
