"","male.Demogr.1","female.Demogr.1","male.Demogr.2","female.Demogr.2","male.Demogr.3","female.Demogr.3","male.Demogr.4","female.Demogr.4",""
"ageCat1","0.187269329891367","0.17833663888936","0.22861281947459","0.270290902364364","0.297950717527883","0.302832860538991","0.410503987420791","0.373842207295197","relative.walk.time"
"ageCat2","1.4962811939958","1.60608267073791","1.52188863988796","1.61334406548087","1.61791323572169","1.63703118011373","1.50911384788484","1.55791429811815",""
"ageCat3","0.808689587523672","1","0.863600742903486","1","0.897896180897415","1","0.913905811317895","1",""
"ageCat4","0.63746082845461","0.861897137779512","0.712542678810819","0.854273293461639","0.806634775114848","0.853751732144254","0.812843660420628","0.867748685681304",""
"ageCat5","0.622698272360279","0.817403281373436","0.67966684040795","0.786138602610605","0.795543451296276","0.891961644000747","0.853971447374214","0.880477183453742",""
"ageCat6","0.571776650021472","0.72981624008493","0.578315987211124","0.678134687811356","0.665897279858483","0.721284648370535","0.703398338675768","0.761207427107362",""
"ageCat7","0.471828104588817","0.588850891802521","0.524503067795685","0.538264308217579","0.56308639843337","0.585601677177648","0.664257284314515","0.548946612692097",""
"ageCat8","0.472682319803023","0.572134935509474","0.485532278081941","0.585254501965473","0.467795998431278","0.544551079453209","0.444588194242278","0.471026631956332",""
""," "," "," "," "," "," "," "," "," "
"ageCat1","0.266879764000922","0.131291260433388","0.46047330707832","0.229914045509095","0.840817754355951","0.275222248091363","0.935108028624847","0.413942118735481","relative.cycle.time"
"ageCat2","1.72805249140351","0.9194134340684","1.99554318631826","1.01630115128772","2.48548146016501","1.22872225471551","2.76359518474351","1.22486197667907",""
"ageCat3","2.19209196559411","1","2.17826050266597","1","2.23394752262152","1","2.32970811578714","1",""
"ageCat4","1.8746339713302","0.686224863332983","1.69360994872062","0.668373764917815","1.80916395774825","0.670544292467103","1.83986683043011","0.574489370381663",""
"ageCat5","1.47705574352705","0.566845981757328","1.38973177457382","0.476924134118439","1.36819545479741","0.48784826396131","1.37841622575822","0.50615950207625",""
"ageCat6","1.02445519579368","0.501665573058134","0.890902148721658","0.385549063906186","0.889728928642839","0.392431540000995","1.00514791131458","0.480929117001583",""
"ageCat7","0.932234922680008","0.452310315958036","0.850020737811652","0.349952524364858","0.97906877548141","0.358391234008121","0.741417744843163","0.299758274617431",""
"ageCat8","0.746096205201721","0.403476359052935","0.684153699547928","0.355332030617568","0.97475746970185","0.277719331326949","0.711951683500335","0.292757875018457",""
""," "," "," "," "," "," "," "," "," "
"ageCat1","1.00012261387642","1.00021390742355","0.999875834817647","1.00000294652793","1.00016499512808","0.999930468973929","1.00028486225939","0.999863348231957","relative.walk.speed"
"ageCat2","1.00009748916593","1.00005538418785","1.00001710936676","1.000055958164","1.00003383062623","1.00002791646967","0.999966438616996","1.00006948271214",""
"ageCat3","0.999972215288854","1","1.00001373524473","1","1.00000616313666","1","0.999970785161951","1",""
"ageCat4","1.00003952630666","1.00003727899531","1.00003740702074","1.00005553650188","1.00000123836633","1.00003895759486","0.999976493131176","0.999968458285683",""
"ageCat5","1.00003824071282","1.00003882907245","1.00003721783029","1.00003898901354","1.00002662278428","1.00004113042175","0.999948251041963","1.00004120204413",""
"ageCat6","1.00006610450291","1.00008195533123","1.00000924564611","1.00005175906019","1.00010864276702","1.00004224203353","0.999845747421876","0.999945251524375",""
"ageCat7","0.999902031101523","0.999984924988604","0.999981527215828","0.999987293981313","1.00015927686035","0.999978719705039","1.00015976378889","1.00003214348797",""
"ageCat8","1.00009515480798","1.00009927514878","0.999860259875339","1.00001708032829","0.999838072345837","0.999925901224425","0.999991628535215","1.00004252741725",""
""," "," "," "," "," "," "," "," "," "
"ageCat1","0.999925700170599","0.999842047218672","0.999950158653072","1.00036257949797","1.00015058694495","0.999918345037157","0.999860220129612","1.00004349911377","relative.cycle.speed"
"ageCat2","1.00003072483554","1.00001290866622","1.00003013262562","0.999999501322336","1.00006168657624","1.00004669157719","0.999940217665475","0.999900058258861",""
"ageCat3","1.00000005428593","1","1.00004158662449","1","1.00007030157059","1","0.999961628733698","1",""
"ageCat4","1.00002010293452","1.00000121381291","1.00004975068901","1.00007527232356","1.00005019245414","1.00015550873374","0.999962778023075","0.999897271880599",""
"ageCat5","1.00000398436133","1.00001660551529","1.00005254856449","1.00004411188982","1.00006180705336","1.00008829531047","1.0000047953106","0.999912102425539",""
"ageCat6","0.999979472170885","1.00011247322612","1.00004756492801","1.0000621021451","1.00003849907272","0.999997376625658","1.00001067193762","1.00022274816187",""
"ageCat7","0.99996734768402","1.00003847716408","1.00012366452065","1.00001191164019","1.00013484882439","1.00009211111084","0.999912174535623","1.00032988460803",""
"ageCat8","1.00001775971731","1.00013750559009","1.00005624986557","0.999892174494422","1.00016677581334","0.999982160544145","0.999873054753249","0.999603042919016",""
